,fakeid,fakeid0,female0,famid0,year0,age0,eduyrs0,famsize0,kfamincly0,tlabincly0,klabincly0,knlabincly0,wage_inc0,hrs_house0,hrs_workly0,race0,college0,employdB0,fulltimely0,lowincly0,fakeid1,female1,famid1,year1,age1,eduyrs1,famsize1,kfamincly1,tlabincly1,klabincly1,knlabincly1,wage_inc1,hrs_house1,hrs_workly1,race1,college1,employdB1,fulltimely1,lowincly1
57,391,391,Male,98,2021,69,12,2,41.054996,16.799999,10.5,466.44226,16.25387,4,12.423077,Black,No,0,Part-time (50-1749 hours),0,391,Female,98,2021,65,14,2,41.054996,16.799999,6.2999997,466.44226,8.203125,15,14.769231,Black,Yes,1,Part-time (50-1749 hours),0
58,394,394,Male,99,2021,45,14,5,95.549995,95.549995,52.499996,0.0,23.521503,10,42.923077,White,No,1,Full-time (1750+ hours),0,394,Female,99,2021,32,16,5,95.549995,95.549995,43.049999,0.0,18.906454,14,43.78846,White,Yes,1,Full-time (1750+ hours),0
60,403,403,Male,101,2021,49,14,2,60.899998,60.899994,26.249998,7.3359566e-05,17.784552,7,28.384615,White,Yes,1,Part-time (50-1749 hours),0,403,Female,101,2021,47,15,2,60.899998,60.899994,34.649998,7.3359566e-05,16.658653,15,40.0,Other,No,1,Full-time (1750+ hours),0
61,411,411,Male,103,2021,67,15,2,114.46049,114.45,100.8,0.20188552,40.384613,20,48.0,White,No,0,Full-time (1750+ hours),0,411,Female,103,2021,57,12,2,114.46049,114.45,13.65,0.20188552,56.874996,21,4.6153846,Other,Unknown,0,Part-time (50-1749 hours),0
66,445,445,Male,112,2021,51,15,3,102.00749,99.75,44.099998,43.413307,20.920303,3,40.53846,White,No,1,Full-time (1750+ hours),0,445,Female,112,2021,49,16,3,102.00749,99.75,55.649998,43.413307,27.604166,7,38.76923,White,Yes,1,Full-time (1750+ hours),0
71,477,477,Male,120,2021,31,12,2,29.200499,23.099998,16.799999,117.31731,27.999998,10,11.538462,White,Unknown,1,Part-time (50-1749 hours),0,477,Female,120,2021,37,17,2,29.200499,23.099998,6.2999997,117.31731,13.124999,5,9.2307692,Other,Yes,1,Part-time (50-1749 hours),0
75,495,495,Male,124,2021,35,16,2,143.37329,141.75,129.14999,31.217134,56.274506,5,44.134617,White,Yes,1,Full-time (1750+ hours),0,495,Female,124,2021,30,14,2,143.37329,141.75,12.599999,31.217134,13.124999,3,18.461538,White,No,1,Part-time (50-1749 hours),0
79,506,506,Male,127,2021,32,16,2,212.09999,212.10001,157.5,-0.00029343826,78.75,5,38.46154,White,Yes,1,Full-time (1750+ hours),0,506,Female,127,2021,33,16,2,212.09999,212.10001,54.599998,-0.00029343826,17.07317,15,61.5,White,Yes,1,Full-time (1750+ hours),0
80,510,510,Male,128,2021,49,14,3,41.474998,39.900002,21.0,30.288403,10.154738,10,39.76923,White,Yes,1,Full-time (1750+ hours),0,510,Female,128,2021,51,16,3,41.474998,39.900002,18.9,30.288403,9.8232841,15,37.0,White,No,1,Full-time (1750+ hours),0
85,527,527,Male,132,2021,51,16,3,120.18195,120.02444,45.841949,3.0288696,22.188745,8,39.73077,Other,Unknown,1,Full-time (1750+ hours),0,527,Female,132,2021,48,16,3,120.18195,120.02444,74.182495,3.0288696,50.327339,24,28.346153,Other,Unknown,1,Part-time (50-1749 hours),0
92,569,569,Male,143,2021,38,12,4,72.659996,72.449997,38.849998,4.038444,13.583916,10,55.0,Black,Unknown,1,Full-time (1750+ hours),0,569,Female,143,2021,32,16,4,72.659996,72.449997,33.599998,4.038444,16.153845,10,40.0,White,Yes,1,Full-time (1750+ hours),0
94,580,580,Male,145,2021,37,12,4,120.855,120.74999,94.499992,2.0192952,46.323528,5,39.23077,White,No,1,Full-time (1750+ hours),0,580,Female,145,2021,35,17,4,120.855,120.74999,26.249998,2.0192952,50.872089,20,9.9230766,White,Yes,1,Part-time (50-1749 hours),0
95,581,581,Male,146,2021,40,16,3,119.61075,99.75,73.5,381.93747,36.011757,20,39.25,White,Yes,1,Full-time (1750+ hours),0,581,Female,146,2021,43,12,3,119.61075,99.75,26.249998,381.93747,156.25,30,3.2307692,White,No,1,Part-time (50-1749 hours),0
97,594,594,Male,149,2021,52,12,2,109.2,109.2,50.399998,0.0,25.714285,5,37.692307,Black,No,1,Full-time (1750+ hours),0,594,Female,149,2021,57,15,2,109.2,109.2,58.799995,0.0,20.851063,15,54.23077,Black,No,1,Full-time (1750+ hours),0
109,654,654,Male,164,2021,31,16,3,162.75,162.74998,104.99999,0.00029343826,37.141846,3,54.365383,Black,Yes,1,Full-time (1750+ hours),0,654,Female,164,2021,35,17,3,162.75,162.74998,57.749996,0.00029343826,27.764421,6,40.0,White,Yes,1,Full-time (1750+ hours),0
121,702,702,Male,176,2021,33,12,2,192.14999,192.14999,110.24999,0.0,53.209457,5,39.846153,White,No,1,Full-time (1750+ hours),0,702,Female,176,2021,30,17,2,192.14999,192.14999,81.899994,0.0,51.187496,2,30.76923,White,Yes,1,Part-time (50-1749 hours),0
131,736,736,Male,184,2021,36,17,3,127.05,120.74999,31.499998,121.15391,17.897726,5,33.846153,White,Yes,1,Full-time (1750+ hours),0,736,Female,184,2021,30,17,3,127.05,120.74999,89.249992,121.15391,41.053356,8,41.807693,Other,Yes,1,Full-time (1750+ hours),0
133,740,740,Male,185,2021,29,17,2,144.375,144.375,141.75,0.0,71.446571,5,38.153847,Other,Yes,1,Full-time (1750+ hours),0,740,Female,185,2021,24,17,2,144.375,144.375,2.625,0.0,11.718749,10,4.3076925,Other,No,1,Part-time (50-1749 hours),0
134,742,742,Male,186,2021,56,17,2,77.188644,77.10675,20.474998,1.5748831,66.477272,10,5.9230771,White,Yes,1,Part-time (50-1749 hours),0,742,Female,186,2021,57,17,2,77.188644,77.10675,56.631748,1.5748831,24.676142,10,44.134617,White,Yes,1,Full-time (1750+ hours),0
136,749,749,Male,188,2021,48,16,2,105.11024,99.755249,68.255249,102.98069,34.824104,5,37.692307,White,Yes,1,Full-time (1750+ hours),0,749,Female,188,2021,47,17,2,105.11024,99.755249,31.499998,102.98069,18.839712,7,32.153847,White,Yes,1,Part-time (50-1749 hours),0
140,771,771,Male,193,2021,29,17,2,54.599998,36.75,15.749999,343.2692,99.68354,10,3.0384614,White,Yes,1,Part-time (50-1749 hours),0,771,Female,193,2021,34,17,2,54.599998,36.75,21.0,343.2692,20.192307,10,20.0,Other,Yes,1,Part-time (50-1749 hours),0
144,793,793,Male,199,2021,44,17,4,281.45248,278.25,262.5,61.586235,124.11347,10,40.673077,White,Yes,1,Full-time (1750+ hours),0,793,Female,199,2021,41,16,4,281.45248,278.25,15.749999,61.586235,22.340424,12,13.557693,White,Yes,1,Part-time (50-1749 hours),0
151,816,816,Male,204,2021,38,17,4,190.155,190.04999,131.25,2.0194421,83.865814,6,30.096153,White,Yes,1,Part-time (50-1749 hours),0,816,Female,204,2021,37,17,4,190.155,190.04999,58.799995,2.0194421,29.999998,14,37.692307,White,No,1,Full-time (1750+ hours),0
152,818,818,Male,205,2021,31,16,3,140.7,140.7,95.549995,0.0,43.07935,7,42.653847,White,Yes,1,Full-time (1750+ hours),0,818,Female,205,2021,30,17,3,140.7,140.7,45.149998,0.0,22.574999,14,38.46154,White,Yes,1,Full-time (1750+ hours),0
159,848,848,Male,212,2021,60,14,2,179.14784,158.62349,153.29999,394.6991,69.116318,3,42.653847,White,No,1,Full-time (1750+ hours),0,848,Female,212,2021,61,17,2,179.14784,158.62349,5.3234997,394.6991,5.915,8,17.307692,White,Yes,1,Part-time (50-1749 hours),0
160,850,850,Male,213,2021,40,12,2,86.099998,86.099998,42.0,0.0,18.260868,10,44.23077,White,No,1,Full-time (1750+ hours),0,850,Female,213,2021,34,15,2,86.099998,86.099998,44.099998,0.0,12.599999,15,67.307693,White,No,1,Full-time (1750+ hours),0
167,875,875,Male,219,2021,63,12,4,82.046997,53.066998,21.566999,557.30768,16.59,6,25.0,Other,Unknown,1,Part-time (50-1749 hours),0,875,Female,219,2021,62,16,4,82.046997,53.066998,31.499998,557.30768,12.867646,20,47.076923,Other,Unknown,1,Full-time (1750+ hours),0
168,878,878,Male,220,2021,44,16,4,145.96049,145.95,125.99999,0.20188552,51.42857,10,47.115383,Other,No,1,Full-time (1750+ hours),0,878,Female,220,2021,40,16,4,145.96049,145.95,19.949999,0.20188552,11.491935,10,33.384617,White,Yes,1,Part-time (50-1749 hours),0
172,886,886,Male,222,2021,61,17,2,240.63899,240.44998,226.79999,3.6348195,115.71428,16,37.692307,White,Yes,1,Full-time (1750+ hours),0,886,Female,222,2021,60,15,2,240.63899,240.44998,13.65,3.6348195,17.5,20,15.0,White,Yes,1,Part-time (50-1749 hours),0
174,892,892,Male,223,2021,35,8,5,120.74999,70.349998,39.899998,969.23065,14.249999,1,53.846153,White,Unknown,1,Full-time (1750+ hours),0,892,Female,223,2021,33,11,5,120.74999,70.349998,30.449999,969.23065,14.955795,24,39.153847,White,No,1,Full-time (1750+ hours),0
177,910,910,Male,228,2021,41,12,4,84.178497,39.899998,34.649998,851.50958,69.299995,5,9.6153851,White,No,1,Part-time (50-1749 hours),0,910,Female,228,2021,46,12,4,84.178497,39.899998,5.25,851.50958,17.5,20,5.7692308,White,Unknown,0,Part-time (50-1749 hours),0
184,950,950,Male,238,2021,52,12,3,54.266098,22.608599,1.26,608.79803,3.2307692,10,7.5,White,No,0,Part-time (50-1749 hours),0,950,Female,238,2021,50,12,3,54.266098,22.608599,21.348598,608.79803,24.15,15,17.0,White,No,1,Part-time (50-1749 hours),0
187,967,967,Male,242,2021,70,17,2,115.605,115.49999,104.99999,2.0192952,40.384613,2,50.0,White,Yes,1,Full-time (1750+ hours),0,967,Female,242,2021,56,12,2,115.605,115.49999,10.5,2.0192952,5.25,7,38.46154,White,No,1,Full-time (1750+ hours),0
189,973,973,Male,244,2021,43,15,3,137.83559,137.57309,73.5,5.0480185,31.303236,2,45.153847,Black,No,1,Full-time (1750+ hours),0,973,Female,244,2021,40,17,3,137.83559,137.57309,64.073097,5.0480185,33.198498,14,37.115383,Black,Yes,1,Full-time (1750+ hours),0
191,982,982,Male,246,2021,47,14,3,123.00749,122.84999,85.049995,3.0288696,32.711536,5,50.0,White,Yes,1,Full-time (1750+ hours),0,982,Female,246,2021,34,14,3,123.00749,122.84999,37.799999,3.0288696,16.520979,8,44.0,White,No,1,Full-time (1750+ hours),0
201,1020,1020,Male,255,2021,40,16,4,620.75995,609.0,525.0,226.15286,214.28571,8,47.115383,White,Yes,1,Full-time (1750+ hours),0,1020,Female,255,2021,33,17,4,620.75995,609.0,84.0,226.15286,116.66666,8,13.846154,White,Yes,1,Part-time (50-1749 hours),0
209,1062,1062,Male,266,2021,31,17,2,165.27945,165.24794,88.149597,0.60595,43.210587,14,39.23077,Other,Yes,1,Full-time (1750+ hours),0,1062,Female,266,2021,27,17,2,165.27945,165.24794,77.098343,0.60595,37.066513,14,40.0,Other,Yes,1,Full-time (1750+ hours),0
212,1075,1075,Male,269,2021,37,17,2,231.20999,231.0,147.0,4.0382972,72.058823,20,39.23077,White,Yes,1,Full-time (1750+ hours),0,1075,Female,269,2021,34,17,2,231.20999,231.0,84.0,4.0382972,46.153843,15,35.0,White,Yes,0,Full-time (1750+ hours),0
