Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16
1,-0.00331937220673082,-0.0817554232250694,-2.6450994141247,-2.08095191242516,-0.73950851581349,-0.323945799422062,0.140819835445899,-0.138550619673675,-0.76107030263891,0.134025673176098,0.193131610059855,-1.43400418898047,0.0520085688872805,-1.36703449942841,118326233.122181
9,0.671999290856661,0.00680813507921111,-2.13103325209785,-1.67228173318151,0.130253493930971,1.28344886927833,0.681477893879475,0.689614917617363,0.141998195468882,0.791070893022352,1.1621374383224,-1.22793648666382,1.0192738772,-1.03604116469713,157943966755.948
11,0.759308392263051,0.079028847859012,-2.06579097031676,-1.579134989741,0.387311254687203,1.603835,0.851145,0.86203,0.407474877022415,0.98882,1.45207,-1.17627200557379,1.274155,-0.95458526847786,133890683478.548
10,-0.101931639655302,-0.63398199157846,-2.7110638301528,-2.50734564224419,-2.17768248028644,-1.59220231398865,-0.839926872457268,-0.857496786376482,-2.2477300151747,-0.982875916970524,-1.44907725206741,-1.69276099397434,-1.27531709386475,-1.76232906722435,48696829043.4135
4,-0.053995653160029,-0.0923262438577834,-2.75026813255177,-2.31149512832601,-1.39950111783512,-0.65559475426167,-0.279888467161109,-0.329250294966885,-1.45867779171243,-0.305338630612987,-0.536577480044944,-1.54665627518125,-0.476515431226909,-1.52154751228975,155142146.22989
2,-0.0668658230009052,0.124846637843813,-2.61146483891808,-2.25859144266588,-0.154104998704443,-0.18258024759401,0.764005011519233,-0.718980145206667,-0.0558418263439093,0.789343254542238,1.56901087848177,-1.73865208712988,0.26711487857715,-2.15970484546087,79757540.3404681
6,-0.0718004799264791,-0.0656508368919027,-2.75908461315348,-2.35442918990893,-1.4080236078484,-0.717487167486138,-0.38238197752752,-0.598032363227532,-1.61645449108012,-0.290935141765832,-0.557536865166581,-1.66320730865441,-0.650947905874141,-1.6252935465988,159310627.829331
5,0.0038335072800599,-0.00846652393151979,-2.58456887677105,-2.07998746816836,-0.429419297978447,-0.152788660595327,0.358340999267913,0.00624049476546767,-0.274532997641676,0.342826041576135,0.558301356833394,-1.39835116485607,0.465593502248119,-1.30851658200215,97470594.6211073
3,0.0133713121484047,-0.0730801268171669,-2.61602008237294,-2.08753360892966,-0.532389926578773,-0.0876434673191878,0.281671513570842,-0.0679031354888673,-0.584505680709789,0.250408168873702,0.383683871352806,-1.42433931605139,0.292206332459927,-1.3436535119529,107388452.246177
7,0.0147490442501927,0.125591913719745,-2.54634327548511,-2.0155170294057,-0.1226191307862,-0.274144043341311,0.560424797632219,0.13961428729737,0.140329403270665,0.403376761720858,0.768802464675908,-1.40089067495115,0.59395331443961,-1.4309993246065,82473459.6475669
