,fakeid,fakeid0,female0,famid0,year0,age0,eduyrs0,famsize0,kfamincly0,tlabincly0,klabincly0,knlabincly0,wage_inc0,hrs_house0,hrs_workly0,race0,college0,employdB0,fulltimely0,lowincly0,fakeid1,female1,famid1,year1,age1,eduyrs1,famsize1,kfamincly1,tlabincly1,klabincly1,knlabincly1,wage_inc1,hrs_house1,hrs_workly1,race1,college1,employdB1,fulltimely1,lowincly1
4,32,32,Male,8,2017,58,12,2,46.567299,46.556,25.086,0.21729103,14.334857,2,33.653847,White,No,1,Full-time (1750+ hours),0,32,Female,8,2017,57,12,2,46.567299,46.556,21.469999,0.21729103,11.044239,4,37.384617,White,No,1,Full-time (1750+ hours),0
10,70,70,Male,18,2017,35,14,2,60.549919,60.549919,25.877001,0.0,12.440866,1,40.0,White,Yes,1,Full-time (1750+ hours),0,70,Female,18,2017,33,14,2,60.549919,60.549919,34.67292,0.0,15.854101,6,42.057693,White,Yes,1,Full-time (1750+ hours),0
19,126,126,Male,32,2017,55,14,2,62.150002,62.150002,29.379999,0.0,13.997142,8,40.365383,White,Yes,1,Full-time (1750+ hours),0,126,Female,32,2017,47,13,2,62.150002,62.150002,32.77,0.0,25.701962,5,24.51923,White,No,1,Part-time (50-1749 hours),0
31,278,278,Male,70,2017,48,15,5,248.60001,200.00999,92.659996,934.42328,29.784636,10,59.826923,White,No,1,Full-time (1750+ hours),0,278,Female,70,2017,47,16,5,248.60001,200.00999,107.35,934.42328,53.674999,21,38.46154,White,Yes,0,Full-time (1750+ hours),0
32,290,290,Male,73,2017,54,12,3,148.04808,131.08,85.879997,326.3092,41.528046,3,39.76923,White,No,1,Full-time (1750+ hours),0,290,Female,73,2017,54,13,3,148.04808,131.08,45.200001,326.3092,25.307951,10,34.346153,White,No,1,Full-time (1750+ hours),0
35,310,310,Male,78,2017,34,15,3,158.2,155.94,102.83,43.461433,41.63158,15,47.5,White,No,1,Full-time (1750+ hours),0,310,Female,78,2017,32,16,3,158.2,155.94,53.110001,43.461433,25.533653,10,40.0,White,Yes,1,Full-time (1750+ hours),0
36,314,314,Male,79,2017,60,12,3,205.66678,205.66,141.25,0.13028659,80.255684,12,33.846153,White,No,1,Full-time (1750+ hours),0,314,Female,79,2017,59,12,3,205.66678,205.66,64.409996,0.13028659,35.005436,18,35.384617,White,No,1,Full-time (1750+ hours),0
39,317,317,Male,80,2017,49,12,2,133.453,133.34,93.790001,2.1732037,44.661903,3,40.384617,White,No,1,Full-time (1750+ hours),0,317,Female,80,2017,51,16,2,133.453,133.34,39.549999,2.1732037,15.883534,3,47.884617,White,Yes,1,Full-time (1750+ hours),0
47,340,340,Male,85,2017,38,16,2,136.16499,96.614998,37.855,760.57684,20.618191,14,35.307693,White,No,1,Full-time (1750+ hours),0,340,Female,85,2017,38,17,2,136.16499,96.614998,58.759998,760.57684,26.115555,15,43.26923,White,Yes,1,Full-time (1750+ hours),0
50,356,356,Male,89,2017,30,12,2,66.669998,66.669998,30.51,0.0,16.763737,15,35.0,Black,No,0,Full-time (1750+ hours),0,356,Female,89,2017,24,13,2,66.669998,66.669998,36.16,0.0,17.936508,30,38.76923,Black,No,1,Full-time (1750+ hours),0
54,362,362,Male,91,2017,44,15,4,115.373,74.580002,0.0,784.48077,0.0,10,39.23077,White,No,1,Full-time (1750+ hours),0,362,Female,91,2017,44,16,4,115.373,74.580002,74.580002,784.48077,39.335442,10,36.46154,White,Yes,1,Full-time (1750+ hours),0
59,402,402,Male,101,2017,49,17,2,160.86681,155.14899,79.099998,109.95806,38.028847,5,40.0,Other,Yes,1,Full-time (1750+ hours),0,402,Female,101,2017,48,17,2,160.86681,155.14899,76.048996,109.95806,34.489342,6,42.403847,White,Yes,1,Full-time (1750+ hours),0
63,423,423,Male,106,2017,29,12,4,37.855,37.855,34.465,0.0,17.512703,2,37.846153,White,No,1,Full-time (1750+ hours),0,423,Female,106,2017,28,12,4,37.855,37.855,3.3899999,0.0,8.1490383,25,8.0,White,Unknown,1,Part-time (50-1749 hours),0
65,440,440,Male,110,2017,49,12,2,135.2836,119.4636,79.099998,304.23077,22.156862,5,68.653847,Black,Unknown,1,Full-time (1750+ hours),0,440,Female,110,2017,56,12,2,135.2836,119.4636,40.363602,304.23077,8.8691711,10,87.519234,Black,No,1,Full-time (1750+ hours),0
81,513,513,Male,129,2017,26,12,3,67.913002,67.799995,64.409996,2.1732037,31.115942,2,39.807693,White,No,1,Full-time (1750+ hours),0,513,Female,129,2017,24,12,3,67.913002,67.799995,3.3899999,2.1732037,6.0320287,12,10.807693,White,Unknown,0,Part-time (50-1749 hours),0
82,521,521,Male,131,2017,69,15,2,49.089458,27.393459,5.8759999,417.23074,14.125,10,8.0,White,Yes,1,Part-time (50-1749 hours),0,521,Female,131,2017,57,14,2,49.089458,27.393459,21.51746,417.23074,10.610188,20,39.0,White,No,1,Full-time (1750+ hours),0
87,551,551,Male,138,2017,27,16,2,138.99001,135.60001,96.050003,65.192299,32.670067,8,56.53846,White,Yes,1,Full-time (1750+ hours),0,551,Female,138,2017,28,16,2,138.99001,135.60001,39.549999,65.192299,47.083332,10,16.153847,White,Yes,1,Part-time (50-1749 hours),0
89,559,559,Male,140,2017,38,13,3,196.62,192.10001,113.0,86.922867,56.5,3,38.46154,Other,No,1,Full-time (1750+ hours),0,559,Female,140,2017,36,16,3,196.62,192.10001,79.099998,86.922867,39.86895,10,38.153847,Other,Yes,1,Full-time (1750+ hours),0
91,567,567,Male,142,2017,38,15,3,48.59,48.589996,10.17,7.3359566e-05,9.7788458,15,20.0,White,No,1,Part-time (50-1749 hours),0,567,Female,142,2017,37,17,3,48.59,48.589996,38.419998,7.3359566e-05,24.2092,15,30.51923,White,Yes,1,Part-time (50-1749 hours),0
99,613,613,Male,154,2017,31,16,2,103.4515,103.169,64.749001,5.4327159,33.988976,10,36.634617,White,Yes,1,Full-time (1750+ hours),0,613,Female,154,2017,29,16,2,103.4515,103.169,38.419998,5.4327159,18.471153,7,40.0,White,Yes,1,Full-time (1750+ hours),0
100,618,618,Male,155,2017,72,14,2,106.04372,61.019997,14.69,865.84076,9.7933331,2,28.846153,White,No,1,Part-time (50-1749 hours),0,618,Female,155,2017,59,16,2,106.04372,61.019997,46.329998,865.84076,26.474285,8,33.653847,White,Yes,1,Full-time (1750+ hours),0
104,632,632,Male,158,2017,66,16,2,235.379,231.64999,226.0,71.711617,117.70834,10,36.923077,Other,Yes,1,Full-time (1750+ hours),0,632,Female,158,2017,62,16,2,235.379,231.64999,5.6500001,71.711617,14.160401,20,7.6730771,Other,Yes,1,Part-time (50-1749 hours),0
106,649,649,Male,163,2017,26,17,3,96.276001,96.050003,67.800003,4.3461142,30.748299,8,42.403847,White,Yes,1,Full-time (1750+ hours),0,649,Female,163,2017,27,16,3,96.276001,96.050003,28.25,4.3461142,34.451218,25,15.769231,White,Yes,1,Part-time (50-1749 hours),0
110,657,657,Male,165,2017,29,12,2,136.843,118.65,90.400002,349.86539,59.473682,13,29.23077,White,No,0,Part-time (50-1749 hours),0,657,Female,165,2017,26,17,2,136.843,118.65,28.25,349.86539,24.71566,4,21.98077,White,Yes,1,Part-time (50-1749 hours),0
119,694,694,Male,174,2017,53,17,4,119.2602,74.580002,48.59,859.23462,23.818626,15,39.23077,White,Yes,1,Full-time (1750+ hours),0,694,Female,174,2017,41,17,4,119.2602,74.580002,25.99,859.23462,20.384314,7,24.51923,White,Yes,1,Part-time (50-1749 hours),0
124,711,711,Male,178,2017,50,17,4,237.3,237.3,192.10001,0.0,92.355766,20,40.0,White,Yes,1,Full-time (1750+ hours),0,711,Female,178,2017,46,16,4,237.3,237.3,45.200001,0.0,43.461536,10,20.0,White,Yes,1,Part-time (50-1749 hours),0
132,739,739,Male,185,2017,31,16,2,72.500801,72.32,9.04,3.4769499,3.7510374,5,46.346153,White,Yes,1,Full-time (1750+ hours),0,739,Female,185,2017,29,16,2,72.500801,72.32,63.279999,3.4769499,35.038761,6,34.73077,White,Yes,1,Full-time (1750+ hours),0
138,764,764,Male,191,2017,49,17,4,122.4016,116.39,45.200001,115.60763,13.907692,1,62.5,Black,Yes,1,Full-time (1750+ hours),0,764,Female,191,2017,49,17,4,122.4016,116.39,71.190002,115.60763,34.22596,5,40.0,Black,Yes,1,Full-time (1750+ hours),0
145,795,795,Male,199,2017,59,12,3,201.78975,157.50279,123.92597,851.67224,58.455647,5,40.76923,White,No,1,Full-time (1750+ hours),0,795,Female,199,2017,61,12,3,201.78975,157.50279,33.57682,851.67224,16.78841,7,38.46154,White,No,1,Full-time (1750+ hours),0
147,798,798,Male,200,2017,35,16,2,299.9133,299.45001,146.89999,8.9093723,78.138298,5,36.153847,White,Yes,1,Full-time (1750+ hours),0,798,Female,200,2017,31,17,2,299.9133,299.45001,152.55,8.9093723,79.453125,10,36.923077,White,Yes,1,Full-time (1750+ hours),0
150,813,813,Male,204,2017,25,16,2,180.91299,180.79999,129.95,2.1732037,60.162037,10,41.53846,White,Yes,1,Full-time (1750+ hours),0,813,Female,204,2017,24,16,2,180.91299,180.79999,50.849998,2.1732037,24.92647,10,39.23077,Other,Yes,1,Full-time (1750+ hours),0
154,825,825,Male,207,2017,63,14,3,53.583469,46.574081,14.70808,134.79593,13.286431,15,21.288462,White,No,0,Part-time (50-1749 hours),0,825,Female,207,2017,56,15,3,53.583469,46.574081,31.865999,134.79593,14.752778,2,41.53846,White,Yes,1,Full-time (1750+ hours),0
